agreementAddress,certificateId,signedAmount,filledAmount,buyer,seller,metadata,metadataDecoded
0x8289c2fFbe2A4FAC07a93574B247619C84d850Dd,3,1000000,1000000,0x0a9F5a004f19e0DEd90B097E9Ccfc667779FF4B9,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,0x000000000000000000000000000000000000000000000000000000000000005a5245432d2d57494e442d2d55532d2d2d37303938653266652d626232302d346436332d623066342d3137323430626536663438642d2d37613530316235392d646439342d353338662d626535652d653334303137373263393631000000000000,"{""productType"":""REC"",""energySources"":[""WIND""],""country"":""US"",""agreementId"":""7098e2fe-bb20-4d63-b0f4-17240be6f48d"",""orderId"":""7a501b59-dd94-538f-be5e-e3401772c961""}"
0xFd9c6a18A12Cc98F89D949e7b685a07C12C11Da6,3,1000000,1000000,0x25Bf281bE6869857C43Ee496BB191721933BE676,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,0x000000000000000000000000000000000000000000000000000000000000005a5245432d2d57494e442d2d55532d2d2d31353735666436392d373366382d343532322d613838382d3438643533333563323835372d2d37613530316235392d646439342d353338662d626535652d653334303137373263393631000000000000,"{""productType"":""REC"",""energySources"":[""WIND""],""country"":""US"",""agreementId"":""1575fd69-73f8-4522-a888-48d5335c2857"",""orderId"":""7a501b59-dd94-538f-be5e-e3401772c961""}"
0x899a2f43bA5491dAD2Fac68997065CA1A9b0337c,3,18000000,18000000,0x683f9679b7aE05413F26ae985835BAfa0Ddfbe4A,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,0x000000000000000000000000000000000000000000000000000000000000005a5245432d2d57494e442d2d55532d2d2d31623236386331392d373330392d343364362d383830332d6161353566326562333132302d2d37613530316235392d646439342d353338662d626535652d653334303137373263393631000000000000,"{""productType"":""REC"",""energySources"":[""WIND""],""country"":""US"",""agreementId"":""1b268c19-7309-43d6-8803-aa55f2eb3120"",""orderId"":""7a501b59-dd94-538f-be5e-e3401772c961""}"
0xE5E5547749fA188E80AeF93b2549C6fDaE1018c0,3,108000000,108000000,0x35B8d67751e99293faa724ab6bc1aA8EE4714663,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,0x000000000000000000000000000000000000000000000000000000000000005a5245432d2d57494e442d2d55532d2d2d31623839666164652d393039302d343964612d623762332d3234373436306362666132302d2d37613530316235392d646439342d353338662d626535652d653334303137373263393631000000000000,"{""productType"":""REC"",""energySources"":[""WIND""],""country"":""US"",""agreementId"":""1b89fade-9090-49da-b7b3-247460cbfa20"",""orderId"":""7a501b59-dd94-538f-be5e-e3401772c961""}"
0x92701A440f0F0cd6733C5e5c2b46381f326876Fb,3,14000000,14000000,0xE9DF78AD5C3205462b50DEd7a6a4F3a74a734c35,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,0x000000000000000000000000000000000000000000000000000000000000005a5245432d2d57494e442d2d55532d2d2d39626134326434642d306535342d343966392d613531372d3938333138613537653061322d2d37613530316235392d646439342d353338662d626535652d653334303137373263393631000000000000,"{""productType"":""REC"",""energySources"":[""WIND""],""country"":""US"",""agreementId"":""9ba42d4d-0e54-49f9-a517-98318a57e0a2"",""orderId"":""7a501b59-dd94-538f-be5e-e3401772c961""}"
0x1EaA5c3afE3B7949740935b9169B25379e5907FF,3,20000000,20000000,0xCCbfEff993c4a1DbF199Dd61aa5dbd683b2c9E4f,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,0x000000000000000000000000000000000000000000000000000000000000005a5245432d2d57494e442d2d55532d2d2d66656234373330322d396437642d343831352d383335632d6233346138653837336331652d2d37613530316235392d646439342d353338662d626535652d653334303137373263393631000000000000,"{""productType"":""REC"",""energySources"":[""WIND""],""country"":""US"",""agreementId"":""feb47302-9d7d-4815-835c-b34a8e873c1e"",""orderId"":""7a501b59-dd94-538f-be5e-e3401772c961""}"
0x11DC561CF06C2E073596D419CE4a88f34d368e48,3,24000000,24000000,0xE9d31D8E00cb3562bAb364781d9BceFB377F8D88,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,0x000000000000000000000000000000000000000000000000000000000000005a5245432d2d57494e442d2d55532d2d2d63323639623362382d366162352d346563642d396239342d3866383133306366646434332d2d37613530316235392d646439342d353338662d626535652d653334303137373263393631000000000000,"{""productType"":""REC"",""energySources"":[""WIND""],""country"":""US"",""agreementId"":""c269b3b8-6ab5-4ecd-9b94-8f8130cfdd43"",""orderId"":""7a501b59-dd94-538f-be5e-e3401772c961""}"
0x0C8Bab76987e78e5873FbCF58c01BBd3F909B22f,3,83000000,83000000,0x4C38546ac59244890237dFcdeBc862844b2752B5,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,0x000000000000000000000000000000000000000000000000000000000000005a5245432d2d57494e442d2d55532d2d2d35663132636536362d636562612d343766642d396363382d6234343836346539616664662d2d37613530316235392d646439342d353338662d626535652d653334303137373263393631000000000000,"{""productType"":""REC"",""energySources"":[""WIND""],""country"":""US"",""agreementId"":""5f12ce66-ceba-47fd-9cc8-b44864e9afdf"",""orderId"":""7a501b59-dd94-538f-be5e-e3401772c961""}"
0x9Ed794A9544Fe2728Dec3c5a5E6762226674be35,3,18000000,18000000,0xa4C816f5be8607928e186FC7E1eF2C77ebB67A60,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,0x000000000000000000000000000000000000000000000000000000000000005a5245432d2d57494e442d2d55532d2d2d36383564303535652d613839362d343262322d383737632d3162363439383237396464652d2d37613530316235392d646439342d353338662d626535652d653334303137373263393631000000000000,"{""productType"":""REC"",""energySources"":[""WIND""],""country"":""US"",""agreementId"":""685d055e-a896-42b2-877c-1b6498279dde"",""orderId"":""7a501b59-dd94-538f-be5e-e3401772c961""}"
0x8FB851991074cbFf03ba0eAFD8178144d1C53bf2,5,96000000,96000000,0x9c7fc246Ab4f70ED20ffb69009206718C91D4144,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,0x000000000000000000000000000000000000000000000000000000000000005a474f2d2d485944524f2d2d4e4f2d2d2d36376636616139322d616162332d346533612d393735642d6530353663613833323562652d2d37346439343761662d303465622d356539332d383738302d653566663437656263363164000000000000,"{""productType"":""GO"",""energySources"":[""HYDRO""],""country"":""NO"",""agreementId"":""67f6aa92-aab3-4e3a-975d-e056ca8325be"",""orderId"":""74d947af-04eb-5e93-8780-e5ff47ebc61d""}"
