batchId,storagePointer,certificateIds,redemptionStatement,transactionHash
0xbf3b3ae177536d804fe8daf2cf66d013ae3076b33fd649e909800bd59db1fe76,https://bafkreigxldrh3lo2spyg424ga4r7srss4f4umm3v7njljod7qvyjtvlg7e.ipfs.dweb.link,0,bafkreigxldrh3lo2spyg424ga4r7srss4f4umm3v7njljod7qvyjtvlg7e,0xd5641642ddf70528551a5cd373ea3067bd5c1b7ece66d1190bf628ebe4352f07
0xa9a806eadbaab70f90eb109a1bc75067bf5261a1cf0a4f9853f828d044eb23d8,https://bafkreihcxi6s4ftszubyy374q4w6v2zkzlynpzbtaqd4k7tvlwvxqfzcki.ipfs.dweb.link,"1,2",bafkreihcxi6s4ftszubyy374q4w6v2zkzlynpzbtaqd4k7tvlwvxqfzcki,0xca245517db1958423d96e124046687cf9c44a48dde449dc04ea90d237a6769c6
0x54c891a6c5eb1e803c9619a6fef91cf065df0d15e3d25b2468627f6701ab5c38,https://bafkreih5bgzxicmu5uck4vteekms3ot4itpvif3tk2uma6ocufo7yd4cii.ipfs.dweb.link,3,bafkreih5bgzxicmu5uck4vteekms3ot4itpvif3tk2uma6ocufo7yd4cii,0x91d1aee5f357281c3331f94fa5e3611e62afac7f9c75d8c816022181c176a6a3
0x97f4ad8fdb2bfc01301930720af5ff36b935452f748bc92cb7998e82a6129d16,https://bafkreidw3j5crygrnutqceoiqe6tnirdnptbeugk6mhmgl7vk6zcf2ubni.ipfs.dweb.link,4,bafkreidw3j5crygrnutqceoiqe6tnirdnptbeugk6mhmgl7vk6zcf2ubni,0x86491f91a78a14aa4b01a7f802e8ba89330769d0a7f2bb2d1feb3dd91333fe26
0xffb141e672a5eaac92645f0952582b53096321260b6353cf750cfdc850aa48b0,https://bafkreib5dmwkopgu5fb2a572o6x652shwsf45v74xfdvrnllscgunzqese.ipfs.dweb.link,5,bafkreib5dmwkopgu5fb2a572o6x652shwsf45v74xfdvrnllscgunzqese,0x89785854a1b776c2334eb5151dca94e9dc292991ba6209c718b3f3ef4599f131
0x80c1ae7d8c9031939d6c1b9dc14cbfe8b7740924e00c8c0579dca71057dc2cda,https://bafkreiezkd54neahfq4gfhej7gec6av4fcxbwclohszzxnmswbbgynpasi.ipfs.dweb.link,6,bafkreiezkd54neahfq4gfhej7gec6av4fcxbwclohszzxnmswbbgynpasi,0xf8be617883c7a4b195de1a9fb1b058fea532403ec7d5f284a9d24202ac318c6d
0xf413ea26d3cb7f2c55768edf0bddf26cfff3df3fac2cfd4c3c492080a2d155ec,https://bafybeieqknjcr4fmttaidpnwd5cudyztyv63rrtb4cm43ynzmietbynbqa.ipfs.dweb.link,7,bafybeieqknjcr4fmttaidpnwd5cudyztyv63rrtb4cm43ynzmietbynbqa,0x331d75e32136e5b28d671ab1a4f634bf0835b15f1503c72500dd0b7bc7483134
0xcbb8c79cbb7a7c204dfed28777454d9a6594956e115984c24c0c8e0ab6391f98,https://bafybeifgo7qmwgngdlfxkmsxm4ejjxvpjdgcjqrx5jiz3x6i62w2n7ciau.ipfs.dweb.link,"8,9,10,11,12,13,14",bafybeifgo7qmwgngdlfxkmsxm4ejjxvpjdgcjqrx5jiz3x6i62w2n7ciau,0x872b1d64387aa97c5d397cdd6edac46593f54ad3b11d6c15d8b3dc7d451c5fbe
0x0db53fc816242d26068824b33fb3376b557e082b81c256e028ad2a54f0bb826b,https://bafybeievjsdut34kt36ysc64nfumvyjz63bgd6g6q6wfzg25cyguftvj4i.ipfs.dweb.link,"15,16",bafybeievjsdut34kt36ysc64nfumvyjz63bgd6g6q6wfzg25cyguftvj4i,0xb7a1d0d91918c178091c1054ebd81dd0e06d8b2623bafd86914e1f0c701a1a48
0xb887fd624aefbe8f443add1fdd4ed95935d96d3ae656fbe8dbc9a048dae48c23,https://bafkreigezmnznzlzekq3bnhmy6miqna3ek4lbsny67egmgjrb7enitblym.ipfs.dweb.link,"17,18,19,20,21,22,23,24,25,26,27",bafkreigezmnznzlzekq3bnhmy6miqna3ek4lbsny67egmgjrb7enitblym,0x5a4fb5c7bb7e140cdd4ee1a53dd4bc62498b809afcad7517234bf5bc1b9c6a15
0x0097b4a5e5204c0a212bc82da8dbc2cb052e5528a9412c6644aa3cdf9f9c2332,https://bafkreibqqorigtl6kij45gg5cx4guozmjnfbjoswruvjc43qiyo7dj2n6y.ipfs.dweb.link,"28,29,30,31,32,33,34,35",bafkreibqqorigtl6kij45gg5cx4guozmjnfbjoswruvjc43qiyo7dj2n6y,0x75bb2ae66aba1555d1f4d27aaa933dfe185185ef9d319ea11252d3a6b8ddf6ac
0x0a728a814740389c072c5102ab594fe4cd2a8497825b73206b3ee09dad5f7c67,https://bafkreif5molfuvq2illmnaeate7b26iaimc72ji56glpey5orxf4ei62nq.ipfs.dweb.link,36,bafkreif5molfuvq2illmnaeate7b26iaimc72ji56glpey5orxf4ei62nq,0x54615532cb070c0d1800a806b792a8a70b3f0dfe374ce7c0389377fb1365daec
