tokenId,batchId,value,operator,from,to,transactionHash
3,0xbf3b3ae177536d804fe8daf2cf66d013ae3076b33fd649e909800bd59db1fe76,622000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,0x1cd109cf1e97d70ec444d652da1cb624a9bf4e0074cf63f1d1308cb283cad485
4,0xa9a806eadbaab70f90eb109a1bc75067bf5261a1cf0a4f9853f828d044eb23d8,2000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,0x3cb2f01f2cf362110be59f783c8d871087d01b63da1c21bd158f87c444a9c31a
5,0xa9a806eadbaab70f90eb109a1bc75067bf5261a1cf0a4f9853f828d044eb23d8,96000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,0x3cb2f01f2cf362110be59f783c8d871087d01b63da1c21bd158f87c444a9c31a
6,0x54c891a6c5eb1e803c9619a6fef91cf065df0d15e3d25b2468627f6701ab5c38,93000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,0x36dbeb0edbbe9d2e174c2cffcd09c55f0a5b1f7222f069313106a1b4436427ce
7,0x97f4ad8fdb2bfc01301930720af5ff36b935452f748bc92cb7998e82a6129d16,29000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,0xe804d65a5e038196d383b90eface6347b4cba9b948abef7fdbe940c4c391e885
8,0xffb141e672a5eaac92645f0952582b53096321260b6353cf750cfdc850aa48b0,168000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,0xd679ab37d14ad1629fd9fa5451ec6e2bd8ec2541503fb0dbc4aa6cff1103b7da
9,0x80c1ae7d8c9031939d6c1b9dc14cbfe8b7740924e00c8c0579dca71057dc2cda,6000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,0x49a38c65d8dbb66cd0c8f8ed02629638dfa9be9ff6bc949cde23c0246b8919a4
10,0xf413ea26d3cb7f2c55768edf0bddf26cfff3df3fac2cfd4c3c492080a2d155ec,14000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,0x23f827da2850fd43a0ab019af77b207485ea68030e64736492f2c00ab344ff05
11,0xcbb8c79cbb7a7c204dfed28777454d9a6594956e115984c24c0c8e0ab6391f98,5000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,0xa8b96b2eee0bc68c1da91513804a9c7662b6aab8d180195e98433dace697aef6
12,0xcbb8c79cbb7a7c204dfed28777454d9a6594956e115984c24c0c8e0ab6391f98,5000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,0xa8b96b2eee0bc68c1da91513804a9c7662b6aab8d180195e98433dace697aef6
